('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         667323 function calls (646641 primitive calls) in 5.605 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       42    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
        8    0.000    0.000    0.001    0.000 _htmlparser.py:226(handle_charref)
      357    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      374    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       35    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
        2    0.000    0.000    0.000    0.000 socket.py:220(__init__)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      177    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      267    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      105    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      103    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      125    0.000    0.000    0.000    0.000 typing.py:515(<genexpr>)
       59    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    3.214    3.214 client.py:1445(connect)
       20    0.000    0.000    0.001    0.000 typing.py:523(Optional)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
        1    0.000    0.000    0.008    0.008 cd.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
       28    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
