('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         754041 function calls (729990 primitive calls) in 9.827 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       37    0.000    0.000    0.139    0.004 response.py:1173(read_chunked)
      100    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      294    0.000    0.000    0.000    0.000 types.py:176(__get__)
      678    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
       53    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
       60    0.000    0.000    0.001    0.000 typing.py:1147(copy_with)
       48    0.000    0.000    1.079    0.022 {method 'readline' of '_io.BufferedReader' objects}
      382    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      130    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
        1    0.000    0.000    0.171    0.171 financial.py:17(find_field)
      322    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
       31    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
    242/4    0.000    0.000    0.241    0.060 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
  164/163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       73    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      210    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       76    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       61    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
        1    0.000    0.000    9.827    9.827 financial.py:1(<module>)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      305    0.000    0.000    0.111    0.000 re.py:249(compile)
        2    0.000    0.000    0.000    0.000 request.py:2487(getproxies_environment)
      296    0.000    0.000    0.000    0.000 filter.py:623(_match_attribute_value_helper)
        8    0.000    0.000    0.001    0.000 _collections_abc.py:991(update)
      321    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
    73/39    0.000    0.000    0.140    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      139    0.000    0.000    0.001    0.000 typing.py:947(__init__)
        1    0.000    0.000    0.055    0.055 dammit.py:1(<module>)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2223(__init__)
       24    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
      264    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      226    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      290    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    1.008    1.008 client.py:278(_read_status)
      321    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      266    0.000    0.000    0.000    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      433    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
      290    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      341    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.001    0.001 parser.py:59(parsestr)
      477    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      266    0.000    0.000    0.000    0.000 typing_extensions.py:154(_should_collect_from_parameters)
       36    0.000    0.000    0.131    0.004 response.py:1151(_handle_chunk)
       25    0.000    0.000    0.000    0.000 _collections.py:300(add)
        6    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       54    0.000    0.000    0.000    0.000 re.py:269(escape)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      537    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      511    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        3    0.000    0.000    0.008    0.003 utils.py:1(<module>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       48    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
